week,date,rank,skater,trick,line,switch,slowmo,ig,replayed,obstacle,obstacledetail,location,notes,points
1,1/10/2020,10,Heitor Da Silva,bs noseslide to  bs 270,1,,,,,ledge,bench,,,1
1,1/10/2020,9,Max Palmer,fs noseslide to switch fs shove,,,,1,,ledge,,Flushings Fountain,,2
1,1/10/2020,8,Eniz Fazilov,fs feeble,,,,,1,ledge,hubba,,,3
1,1/10/2020,7,Michael Juras,ollie,,,,,,gap,,,Quick footed,4
1,1/10/2020,6,Will Marshall,bs nosebluntslide to bs shove,1,,,,1,ledge,,Citi Field Benches,,5
1,1/10/2020,5,John Shanahan,fakie heelflip,1,,1,,,stairs,,CBS,,6
1,1/10/2020,4,Jacopo Carozzi,Bs nosegrind to nollie kickflip,1,,,,,ledge,Ledge to gap,Milan,,7
1,1/10/2020,3,Adrian Vega,Fakie bs shove to switch fs 5-0,1,,,,,ledge,,Pulaski,,8
1,1/10/2020,2,Grady Smith,kickflip,,,1,,,gap,,,,9
1,1/10/2020,1,Josh Wilson,ollie,, ,1,,1,gap,Bank to bank,,,10
2,1/17/2020,10,Hermann Stene,slappy bs nosebluntslide,,,1,1,,curb,,,,1
2,1/17/2020,9,Kyota Umeki,Drop in pole jam,1,,,,,pole,Basketball hoop pole,,Crazy obstacle,2
2,1/17/2020,8,Adilson Pedro,Fakie fs heelflip,1,,1,,,stairs,Up stairs,,,3
2,1/17/2020,7,Robbin De Wit,Bs noseslide to gap to fs tailslide,,,1,,,ledge,Ledge gap ledge,,Quick footed,4
2,1/17/2020,6,Myquel Haddox,Bs crooked grind to fakie,1,,1,1,,ledge,Up ledge,,Crazy obstacle,5
2,1/17/2020,5,Pedro Attenborough,Kickflip bs noseslide to fakie manual to fs half cab,,,,1,,ledge,,MACBA,Combo,6
2,1/17/2020,4,Tim Zom,Bs boardslide to transfer,,,1,,,ledge,,,Crazy obstacle,7
2,1/17/2020,3,Josh Pall,Kickflip to fs tailslide to drop in,,,1,,,ledge,hubba,,,8
2,1/17/2020,2,Kyle Walker,Bs lipslide,,,,,1,ledge,Out ledge,Oakland Courthouse,,9
2,1/17/2020,1,Ishod Wair,Switch bs crooked,,1,1,,1,ledge,Out ledge,Oakland Courthouse,,10
3,1/24/2020,10,Sully Cormier,Run up stair to ollie,1,,,,,stairs,,,,1
3,1/24/2020,9,Quinn Batley,Bs boardslide to bs hurricane,1,,,,,rail,Knobbed rail,Union Square,,2
3,1/24/2020,8,Caleb Yuan,Switch ollie to fakie manual to fakie manual to fakie kickflip,,1,,,,Pad,Manual drop manual,,,3
3,1/24/2020,7,Marcello Campanello,Bs kickflip to switch manual to switch fs 180,,,,,,Pad,Up stairs,,,4
3,1/24/2020,6,John Dilo,Switch kickflip tailgrab, ,1,1,,1,stairs,,,,5
3,1/24/2020,5,Aaron Goure,Bs boardslide to cannonball grab,,,1,,1,rail,cannon,,Crazy obstacle,6
3,1/24/2020,4,Simon Källkvist,Bs noseslide to nollie heelflip,,,,,,Ledge,,,,7
3,1/24/2020,3,Nolan Benfield,Bs noseslide,,,,,,rail,,,,8
3,1/24/2020,2,Kareem Campbell,360flip to fakie,,,1,1,,transistion,quarterpipe,Indoor park,Berrics,9
3,1/24/2020,1,Nick Matthews,Ollie to bs lipslide,,,1,,,ledge,Gap to ledge,,,10
4,1/31/2020,10,Matt Gotwig,Bs kickflip to switch fs 50-50,,,,1,1,Curb,,,,1
4,1/31/2020,9,Tyler Bledsoe,Bs noseslide,1,,,,,ledge,Hubba,,,2
4,1/31/2020,8,Tom Knox,Bs 50-50 to wallie to bs 50-50,,,,,,ledge,Ledge to ledge,,,3
4,1/31/2020,7,Marcus Shaw,Bs tailslide to bs kickflip,1,,,,1,ledge,,3rd & Army,,4
4,1/31/2020,6,Ben Gore,Varial kickflip,,,,,1,gap,Over rail,,"Wrong name in titles, corrected",5
4,1/31/2020,5,Marcel Aiha,Fs smith to kicklfip,,,,,,ledge,Ride on ,,,6
4,1/31/2020,4,Fev Lilian,Bs 50-50 transfer to dirt ride,,,,,,rail,Flat rail,,,7
4,1/31/2020,3,Ryan Conners,Bs 180 to fakie manual to bs cabbalerial kickflip,,,,1,,pad,,skatepark,,8
4,1/31/2020,2,Tyler Surrey,nollie fs 360,1,1,,,,gap,Flat gap,, ,9
4,1/31/2020,1,Giorgi Balkhamishvili,Nollie bs nosebluntslide to nosebluntslide,,1,,,,ledge,Ledge to ledge,,,10
5,2/7/2020,10,Luc Ramos,Bs 360 ollie to dirt ride,,,,,,gap,,,,1
5,2/7/2020,9,Ville Wester,Kickflip to bs tailslide,,,,1,1,transistion,Quarterpipe,skatepark,,2
5,2/7/2020,8,Dane Barker,Ollie to fs 5-0,1,,,,,Ledge,Gap to ledge,,,3
5,2/7/2020,7,Andrey Fedotenkov,Inward heelflip to fs tailslide,,,,,1,ledge,hubba,,,4
5,2/7/2020,6,Misha Stepanov,Bs lipslide,1,,,,,ledge,hubba,,,5
5,2/7/2020,5,Misha Kruglov,Ollie to ollie to bs nosebluntslide,1,,1,,,ledge,gap to gap to ledge,,Quick footed,6
5,2/7/2020,4,Ben Narloch,Switch hardflip,,1,,,,stairs,,Union Square SF,,7
